sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
4050199	decision	regretted	24	24	22	22	Ackland , who had turned down the chance to attend Harvard College due to family pressure to stay near home , always regretted the decision ; it is speculated that he might have viewed Duke as `` the Harvard of the South .
4125153	vehemence	regretted	14	14	6	6	According to E chard , he regretted towards the end of his life the vehemence with which he had combatted Cardinal Cajetan and Father Dominic Soto .
4125264	demise	regretted	15	15	12	12	According to Eddy Suarez , president of Venezuelan Weightlifting Federation , he regretted the sudden demise of Chacon , who would have been admitted to the hospital immediately for further treatment and speedy recovery .
4150260	way	regretted	18	18	16	16	According to Fox , Edwards has since spoken with him in 2009 and stated that he regretted the way the dissolution of the album line-up occurred , further stating that had that line-up been able to stay together , that a major label signing would definitely have been forthcoming , and the band would have moved to the next plateau of national and international success .
4162457	imprisonment	regrets	10	10	6	6	According to Chris Cowley , Brady regrets Hindley ' s imprisonment and the consequences of their actions , but not necessarily the crimes themselves .
4169781	enthusiasm	regret	17	17	15	15	According to his obituary in New York Times , Levinas ' obituary Levinas came to regret his enthusiasm for Heidegger , because of the latter ' s affinity for the Nazis .
4171053	perseverance	regretted	39	39	35	35	According to historian Denis Sinor , the letter `` stated that Innocent IV had acted out of a sense of duty to let the true religion be known to the Mongols , and that he regretted the Mongols ' perseverance in their errors and adjured them to cease their menaces .
4187707	nothing	regret	23	23	22	22	Abu Daoud remained unrepentant regarding his role in the Munich attacks , stating on Germany ' s Spiegel TV , `` I regret nothing .
4212613	fact	regretted	36	36	34	34	A contributing factor to Jansson ' s decision to pursue her career as an author was her patients ; she often met patients that were about to die and she was told that they regretted the fact that they had not spent much time in life doing what they really wanted .
4243485	decision	regretted	17	17	15	15	A corrupt politician who eventually was recalled from office in 1938 , Mayor Shaw soon regretted his decision .
4330537	decision	regret	15	15	13	13	Considering other articles that were deleted , in due time , he will regret his decision .
4450588	life	regret	13	13	11	11	Despite some painful memories , Lloyd states that she does not regret her life .
4461315	use	regretted	22	22	20	20	Despite -LRB- or perhaps because of -RRB- his hawkish reputation , Teller made a public point of noting that he regretted the use of the first atomic bombs on civilian cities during World War II .
4467064	thing	regret	60	60	58	58	Despite the fractured narrative approach , the film is anchored at the beginning by predominance of elements from her childhood , and at the end with the events prior to and surrounding her death , poignantly juxtaposed by a performance of her song , `` Non , je ne regrette rien '' -LRB- No , I do not regret a thing -RRB- .
4468014	decision	regretting	14	14	12	12	Despite the guide ' s popularity , Broadbent has been quoted as regretting his decision not to copyright it .
4468216	decision	regretted	8	8	6	6	Despite the health difficulties , Minton regretted his decision almost immediately .
4483241	death	regretted	16	16	14	14	Despite the attack , ETA claimed that the ceasefire was still in place and regretted the death of civilians .
4486343	anything	regretted	14	14	13	13	Despite the controversy surrounding his life , J u nger said he never regretted anything he wrote , nor would he ever take it back .
4497250	part	regretted	12	12	10	10	Despite this , it is said that Tokugawa Ieyasu deeply regretted the part he played in his death .
4498446	response	regretted	27	27	24	24	Despite this , Mitchum confided to friends and family that he felt Ryan ' s Daughter was among his best roles and he always regretted the negative response the film received .
4515918	removal	regretted	19	19	15	15	Despite well publicised conflict between the two players , Boycott recorded in 1987 that he regretted Close ' s removal from the club , and wrote him a letter in admiration for his contributions to Yorkshire .
4558798	decision	regretting	10	10	8	8	By the end of the season she was regretting her decision to break up with him , and wanted Dawson back , especially as her sick grandfather died .
4601927	reference	regretted	4	4	1	1	Camus regretted the continued reference to himself as a `` philosopher of the absurd '' .
4752839	language	regretted	12	12	8	8	Defence Minister Peter MacKay was asked if he regretted his previous harsh language used against critics who turned out to be right in their assessments , MacKay described himself as being `` passionate '' regarding military procurement priorities .
4761536	participation	regret	13	13	11	11	Despite having left the list in August , I do not regret my participation .
4763544	decision	regret	18	18	16	16	Despite her better judgement , she will do anything for Rikushiro if asked -LRB- and might regret the decision later -RRB- .
4770962	mistake	regretted	24	24	8	8	Despite his majestic rage , Emperor Wu soon regretted his decision to allow Li Ling mobilize so hastily , and also realized what a mistake it was not listening to Lu Bode ' s suggestion .
4781486	deal	regret	15	15	12	12	Despite being a part owner of the team , Nilsson came to regret his five-year deal with Waverly as he missed his hometown of Brisbane and tried to negotiate a way out of the contract .
4782179	kidnapping	regretted	29	29	28	28	Despite being a villain , she was still a good person since did care about Princess Nagako and tried to send her back to her family as she regretted kidnapping and using her in the first place .
4833633	role	regretted	4	4	2	2	Desmoulins intensely regretted his role in the death of the Girondists ; present at their trial , he was heard to lament , `` O my God !
4897517	development	regretted	3	3	1	1	Darwin regretted the development and engineered Fisher ' s re-entry by making him the gift of a life-time subscription to the society .
4906422	behaviour	regret	7	7	5	5	Dear Skipper , I humbly regret my behaviour , and so on , ' you confounded old villain ; and do not let us have a repetition of your disgraceful conduct .
4907239	death	regretted	11	11	9	9	Deasy later wrote in his memoirs that he profoundly regretted the death of his former commander in chief .
4926722	treachery	regret	10	10	8	8	Dead Clelia and Elisa are the lady who regret their treachery , promises to help the girl .
4964603	decision	regretted	6	6	4	4	Dandridge complied but later regretted her decision , certain it had been instrumental in starting the slow but steady decline of her career .
5017423	content	regrets	3	3	1	1	Dave regrets the content of his book , and attempts to dig it up from the Hampstead garden , but fails .
5025385	temper	regretted	8	8	6	6	David Millar crashed three times He regretted his temper - he had been ninth - and apologised to his team .
5043236	decision	regretted	4	4	2	2	Darlington later regretted his decision and asked Stevens to reinstate the maids , but they could not be located .
5043786	decision	regrets	18	18	16	16	Darman realizes about the Jedi being under the same roof as Kad via Fi , and regrets his decision about not going with the Nulls , Jusik and Vollen back to Mandalore , believing Zey , Kina Ha and Scout a threat to Kad ' s wellbeing as a free Mandalorian instead of an orthodox Jedi under Yoda ' s rule .
5046644	length	regretting	6	6	4	4	Danny begins his tale regretting the length of his tail until he is corrected by Mr .
5055668	crime	regretting	6	6	4	4	Dante portrays him as regretting this crime , stating in Canto XXXIII that he is repaid in Hell in dates for the figs he called for at the banquet -LRB- dates being much more expensive than figs -RRB- .
5057929	deletion	regret	11	11	9	9	Daniel Brandt deletion wheel war -RRB- I do not regret the deletion I did ; I had partial information when I deleted -LRB- I did not know the problematic revisions had been oversighted , and tought it would be better to keep the article deleted for a bit longer , while they were located so as to be properly left behind when restoring , than to keep the revisions with personal information in the history -RRB- .
5060070	love	regret	5	5	3	3	Daniel does not regret his love for Kafka , who tries to love him back against his nature .
