sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
3012615	surgery	postponed	12	12	8	8	A bladder tumor was detected , but Jobim postponed the recommended immediate surgery for several months , while he tried spiritual treatment with a Brazilian medium and started working on his album Tom Jobim .
3188652	proposal	postponing	7	7	5	5	I see the logic in postponing the proposal until things have settled down , I worry that ending the discussion completely would reinforce that false impression .
3221879	announcement	postpone	32	32	30	30	Israeli media suggested the tribunal would indict an Hezbollah member , Mustafa Badr al-Din , a relative of Imad Mughniyeh , Prime Minister Saad Hariri , asked the tribunal to postpone the announcement because of the potentially incendiary implications for Lebanon of such an announcement , akin to the shootings on the streets of Beirut in 2008 .
3293617	date	postpone	40	40	38	38	After commissioning from its recent upgrade the mine should have resumed full operations before the end of 2008 ; however , delays in the comissoning had forced the owner , APEX Minerals , to raise more money and postpone this date .
3308466	release	postponing	25	25	21	21	After a sparsely attended one-week run , Cimino and United Artists quickly pulled the film from any further releases , completely postponing a full worldwide release .
3324179	training	postpone	10	10	7	7	After a while Sunde was allowed to postpone his military training to attend to `` Schous Tekniske Institutt '' for education .
3325365	ordination	postpone	18	18	15	15	After a year at home and at the advice of Witherspoon , Fithian decided to postpone his ministerial ordination in order to accept a position as a tutor to the family of Robert Carter III at his `` Nomini Hall '' plantation on the Northern Neck of Virginia .
3390552	marriage	postpone	16	16	15	15	After helping rescue Chang from New Babylon they become very close , but decide to postpone marriage until the Millennium Kingdom .
3415359	service	postponed	9	9	6	6	After finishing high school , Shaffir postponed her military service for one year in order to work with underprivileged children in Tiberias as part of a volunteer group affiliated with the Society for the Protection of Nature in Israel .
3436344	remainder	postpone	8	8	6	6	After failing to persuade Banda to postpone the remainder of the debate , Chipembere , in sympathy with his colleagues , resigned his cabinet position on September 8 and retired to the back benches .
3443776	implementation	postponing	15	15	14	14	After discussions between France and Germany , a compromise was at first reached , postponing implementation of the agricultural levies until 1970 .
3445023	attack	postponed	31	31	29	29	After Dobell received reports from his divisional commanders describing the state of the troops , the low supply of ammunition and the estimated 6 , 000 casualties , he postponed the attack for twenty four hours and reported to Murray that he was in agreement with the divisional commanders that only more heavy losses would result from another assault .
3462305	draft	postponed	46	46	44	44	After Bessarabia was won from the Turks in 1806-1812 war , Russian authorities encouraged settlement of this area by ethnic minorities , and for a few decades in mid-19th century , permitted Jews to own or rent land there , offered tax breaks and postponed military draft .
3516424	assault	postponing	33	33	31	31	After a brief and bloody battle at Caspe -LRB- in Arag o n -RRB- , they halted at Pina de Ebro , on the advice of a regular army officer , postponing an assault on Zaragoza .
3519839	date	postponed	5	5	2	2	After a postponed 2005 release date , Light Poles and Pine Trees dropped in June 2006 to high acclaim and much fanfare , owing at least partly from an extensive promotional campaign by Disturbing tha Peace and multiple radio promo tracks .
3548330	fight	postponing	16	16	14	14	After a fight breaks out between the Aryan and Muslim inmates , Glynn considers postponing the fight indefinitely .
3560640	expedition	postpone	14	14	12	12	After a failed attempt to free it , the King had to postpone his expedition , while Zara returned under Venice ' s aegis .
3580337	suicide	postponed	23	23	21	21	Adams had a track dedicated to him in comedian Doug Stanhope ' s album From Across The Street ; Adams deliberately postponed his suicide so he could attend Stanhope ' s show .
3587221	chance	postponed	12	12	10	10	Adana Demirspor eliminated by Manisaspor in semi-final of playoffs and postponed its chance to promote Turkish S u per Lig to another year .
3593793	fixture	postponing	17	17	15	15	Added to this , Middlesbrough were faced with the wrath of the Football Association for postponing a fixture against Blackburn Rovers at short notice .
3611086	discussion	postponing	21	21	19	19	Actually , the rabbis generally took as their starting point the words of the Old Testament , rather than postponing all discussion until fully satisfactory philosophical metaphysical definitions of concepts in the abstract were found .
3656325	preparation	postponed	14	14	9	9	Act of the Parliament of the United Kingdom that postponed local elections and the preparation of registers of electors .
3683585	battle	postpone	11	11	9	9	Abd-al-Ra h m a n did not want to postpone the battle any longer with winter approaching .
3700514	surgery	postponed	10	10	11	11	A cancer patient died in Leeds after four times having surgery postponed by a lack of available intensive care beds .
3820027	liberalization	postponed	7	7	4	4	Additionally , the government postponed its import liberalization of automobiles .
3839670	decision	postpone	7	7	5	5	A decision was made to postpone the decision until at least the following year .
3902888	talk	postpone	29	29	26	26	Adler , however , who appears to him fearful and beaten by life , does not seem to recognize the judge , and Sebastian decides to postpone any private talk with Adler till the following Monday .
3918654	game	postpone	36	36	34	34	According to the Bryn Mawrtyr ' s account , the grounds were wet -LRB- sawdust was scattered in a vain attempt to dry the playing surface -RRB- , and twice steady rain threatened to postpone the game .
3937267	election	postponing	23	23	20	20	According to Newsweek , Homeland Security Secretary , Tom Ridge , was given the task of finding a rationale for postponing the Presidential election in 2004 .
3980794	offensive	postpone	55	55	53	53	According to Karl Marx , when S e bastiani defended his ministry and stressed that he had not made Poland any promises , the Marquis confronted him with a letter signed by Karol Kniaziewicz , dated September 1830 , which contained references to S e bastiani ' s guarantees and his call to postpone the offensive .
3981938	transition	postpone	18	18	16	16	According to KKRT , such a commitment is unattainable , and thus Albania is seeking to postpone the transition to 2015 .
3992420	reform	postpone	20	20	18	18	According to ProPublica , this massive amount of American aid has `` enabled '' the Egyptian government to postpone democratic reform .
3994954	marriage	postpone	25	25	24	24	According to reports , ceilings or quotas had to be adhered to ; to satisfy these cutoffs , unmarried young people were persuaded to postpone marriage , couples without children were advised to `` wait their turn , '' women with unauthorized pregnancies were pressured to have abortions , and those who already had children were urged to use contraception or undergo sterilization .
4027760	discovery	postponed	12	12	10	10	ACE inhibitor so it can be reasoned that this has postponed the discovery of N-domain selective ACE inhibitors .
4056814	execution	postpone	66	66	64	64	A cliffhanger is a central theme and framing device of the collection of stories known as the One Thousand and One Nights , wherein the queen Scheherazade , who is facing a morning execution on the orders of her husband , King Shahryar , devises the solution of telling him a story but leaving it at a cliffhanger , thus forcing the king to postpone her execution to hear the rest of the tale .
4065623	career	postponed	8	8	5	5	According to Wright , she postponed her political career at the time -LRB- 1995 -RRB- to raise children .
4124661	time	postponing	56	56	51	51	According to Dunham , after he arrived at the club in the evening and informed the emcee that he was a ventriloquist , the emcee reacted with derision , telling Dunham that he would be given a late time slot , and after that time slot came and passed , kept postponing Dunham ' s stage time until Dunham left the club .
4188435	enskinment	postponing	16	16	9	9	Abudu Yili on the other hand was content with postponing the final funeral rites and the enskinment of the new Ya Naa to give them time to fight for the revocation of L .
4203114	onset	postpone	18	18	16	16	Activities such as reading , playing cards and board games and playing a musical instrument can postpone the onset and slow the progression of both Alzheimer ' s and vascular dementia .
4207068	project	postpone	37	37	35	35	A consortium representing Japanese , French , British , American , Dutch , and Ivoirian interests was formed to exploit the deposits ; however , depressed world prices for iron ore forced the participants to postpone the project indefinitely .
4248609	attack	postpone	37	37	35	35	A combination of bad weather , the arguments of his generals , and a breach of security when the details of the original plan fell into Allied hands , eventually led Hitler to agree to postpone the attack until early 1940 , when it was again delayed by the invasion of Denmark and Norway .
4269605	switch	postpone	14	14	12	12	A couple of people over at Meta have encouraged the devs to postpone the switch for IPs until the core community has had a month to get used to it , and there are other reasons why it might be postponed -LRB- e .
4272712	vote	postponing	33	33	31	31	A court ruled he was ineligible due to an old conviction , amid a government appeal in the Supreme Court , which will hear the case on June 30 , thus postponing the vote in the constituency .
4292982	case	postponed	7	7	5	5	A criminal court in Boumerdes postponed the case of six defendants accused of belonging to an armed terrorist faction until the next criminal court session .
4318219	action	postpone	21	21	20	20	Constitutional Convention 2006On July 12 , 2006 , the legislature sitting as a constitutional convention voted 100 to 91 to postpone action on the initiative amendment until November 9 , 2006 , two days after the elections .
4347326	start	postpone	6	6	4	4	Congress had agreed to postpone the start of civil disobedience until the end of the month .
4365268	invasion	postponed	8	8	3	3	Consequently , Hitler postponed his planned 26 August invasion of Poland to 1 September .
4377459	production	postponed	10	10	8	8	Considering battery problem and low quality , TSS postponed the production of Doel Primary model , other models are available for general people .
4413700	consideratio	postponed	12	12	11	11	Congress was not persuaded to follow the common law approach and postponed consideratio of the statute indefinitely .
