sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
72594503	publication	discontinue	7	7	5	5	The threat induced him to discontinue the publication of the debates .
72646709	program	discontinued	17	17	14	14	This category is for baseball topics at John Brown University , which has since discontinued its baseball program .
72658575	association	discontinue	10	10	8	8	This article later resulted in Harvard choosing to discontinue their association with him .
72697291	damage	discontinuing	14	14	12	12	This can help the heavily dependent smoker to quit gradually , while discontinuing further damage to health .
72729272	thread	discontinuing	17	17	15	15	This back and forth of AGF and NPA looks silly and childish and I am discontinuing this thread .
72825215	service	discontinued	8	8	6	6	Unfortunately , in 1984 , Amtrak discontinued its service to Clearwater and the wye was torn up .
72827709	program	discontinued	21	21	19	19	Unfortunately , it was not successful against Audi ' s R8 and even privately entered LMPs , so GM discontinued the program at the end of the year .
72888608	use	discontinued	7	7	6	6	Under Lou Gerstner IBM later quietly discontinued use of the `` SAA '' umbrella .
72895938	service	discontinued	4	4	2	2	United eventually discontinued all service to Elko .
72895939	service	discontinued	4	4	2	2	United eventually discontinued all service to Ely .
72897833	relationship	discontinued	8	8	6	6	United Kingdom , and the company discontinued its relationship with Dick Monnich , the US importer , because of his failure to pay for his orders .
72942182	business	discontinued	4	4	1	1	Upham discontinued his facsimile business in late 1863 and returned to selling stationery , perfume , and hair dye .
72942680	award	discontinued	3	3	1	1	UPI discontinued the award after 1963 with the exception of 1969 and the Associated Press did not give out the award from 1967 to 1998 , when the award was re-instituted and given to Doug Flutie .
72965961	callsign	discontinued	37	37	32	32	Upon completion of the digital transition , WLS officially transferred the `` WLS-TV '' legal callsign from the now-defunct analog channel 7 to the original post-transition digital television channel 7 , and discontinued the `` WLS-DT '' callsign .
72992173	use	discontinue	4	4	3	3	UNO to `` discontinue use of the name ' Indian ' for its athletic teams , abolish `` Ouampi '' as a school mascot and end the misuse of the Native American culture at university activities , such as homecoming and Ma-ie Day .
73011538	work	discontinue	16	16	12	12	University of Gottingen ; however , his straitened circumstances forced him to discontinue his studies and work for earning his livelihood there .
73027061	participation	discontinue	3	3	2	2	University to discontinue participation in the project .
73050521	switching	discontinuing	22	22	18	18	Unless the benefits of paroxetine to the mother justify continuing treatment , consideration should be given to either discontinuing paroxetine therapy or switching to another antidepressant .
73075912	service	discontinued	11	11	7	7	Unlike NTL , Chorus has not yet discontinued its analogue MMDS service .
73078190	classification	discontinued	9	9	7	7	Unlike other JR companies , JR Shikoku discontinued the classification of `` Main Lines '' and others in the names of its railway lines in 1988 .
73096514	manufacture	discontinued	8	8	7	7	Unlike Guild and Gibson , Heritage Guitars discontinued manufacture of their Smith-designed guitar after Smith withdrew his endorsement .
73102353	division	discontinuing	22	22	17	17	Unlike large Japanese corporations such as Matsushita Electric Industrial , which had a standing corporate policy of discontinuing any product line or division in which they were not able to stay in first or second place in total market sales , AMF had continued a practice of purchasing new companies in unfamiliar markets , while simultaneously failing to reorganize and modernize its core operations .
73109672	transmission	discontinued	38	38	35	35	Unlike their European counterparts , manual transmissions have disappeared due to lack of demand ; 1995 was the last year for a manual transmission in the Ford Aerostar and Chrysler minivans while GM had previously discontinued the manual transmission in the Chevrolet Astro and GMC Safari .
73121421	resistance	discontinued	13	13	11	11	Unable to dislodge the Dutch , many of the ulema gradually discontinued their resistance .
73210239	freeware	discontinued	16	16	13	13	Transmit was also made for Mac OS Classic , but it has been discontinued and made freeware .
73235996	format	discontinued	8	8	4	4	Troy University Public Radio discontinued the easy-listening daytime format in 1993 .
73246877	character	discontinued	4	4	1	1	Trujillo discontinued the Brozo character following the death of his wife , producer Carolina Padilla , but brought back Brozo in a new TV program that began in early 2006 on Televisa ' s Canal de las Estrellas , `` El Notifiero .
73292574	Scout	discontinued	8	8	6	6	Under Rogers ' control , Indian discontinued the Scout and began to manufacture lightweight motorcycles such as the 149 Arrow , the Super Scout 249 , both introduced in 1949 , and the 250 Warrior , introduced in 1950 .
73307371	business	discontinue	24	24	22	22	Under the , some railway operators were forced to remove one track from double track lines and others were even forced to discontinue their business in order to satisfy the military demand for steel with the rails removed from tracks .
73333387	drug	discontinue	17	17	15	15	Under a separate provision , patients will receive advance notice when a manufacturer plans to discontinue a drug on which they depend for life support or sustenance , or for a treatment of a serious or debilitating disease or condition .
73348771	Philips	discontinue	9	9	8	8	Under the new company , PolyGram decided to discontinue Philips as a pop and rock label in the UK and throughout much of Europe , though it was still frequently issued records in France and South East Asia by Chinese and Hong Kong pop artists .
73359883	treatment	discontinued	3	3	2	2	Twenty-three patients discontinued treatment due to AEs -LRB- 0 .
73376259	use	discontinued	3	3	2	2	UK Police discontinued use of such boxes by 1969 .
